Entity,Code,Year,Average hours worked per person employed
European Union (28 countries),EEU,1995,1710.057586
European Union (28 countries),EEU,1996,1712.354767
European Union (28 countries),EEU,1997,1707.15897
European Union (28 countries),EEU,1998,1712.832839
European Union (28 countries),EEU,1999,1710.506924
European Union (28 countries),EEU,2000,1698.138876
European Union (28 countries),EEU,2001,1689.679311
European Union (28 countries),EEU,2002,1685.739732
European Union (28 countries),EEU,2003,1678.736815
European Union (28 countries),EEU,2004,1681.570753
European Union (28 countries),EEU,2005,1681.061721
European Union (28 countries),EEU,2006,1679.967817
European Union (28 countries),EEU,2007,1682.097266
European Union (28 countries),EEU,2008,1679.280886
European Union (28 countries),EEU,2009,1657.594197
European Union (28 countries),EEU,2010,1653.814857
European Union (28 countries),EEU,2011,1655.608535
European Union (28 countries),EEU,2012,1639.76277
European Union (28 countries),EEU,2013,1632.505804
European Union (28 countries),EEU,2014,1633.743088
European Union (28 countries),EEU,2015,1631.328565
European Union (28 countries),EEU,2016,1633.37255
France,FRA,1970,1948.230073
France,FRA,1971,1947.816624
France,FRA,1972,1898.090593
France,FRA,1973,1884.460405
France,FRA,1974,1854.751043
France,FRA,1975,1830.153027
France,FRA,1976,1856.825736
France,FRA,1977,1819.907005
France,FRA,1978,1789.749275
France,FRA,1979,1787.019903
France,FRA,1980,1778.86777
France,FRA,1981,1759.619237
France,FRA,1982,1687.917059
France,FRA,1983,1670.744797
France,FRA,1984,1664.953824
France,FRA,1985,1630.436634
France,FRA,1986,1626.715245
France,FRA,1987,1638.998467
France,FRA,1988,1648.224931
France,FRA,1989,1633.682113
France,FRA,1990,1629.096067
France,FRA,1991,1622.620818
France,FRA,1992,1621.566631
France,FRA,1993,1614.078861
France,FRA,1994,1611.646114
France,FRA,1995,1590.683245
France,FRA,1996,1587.097593
France,FRA,1997,1585.503912
France,FRA,1998,1575.72796
France,FRA,1999,1569.434354
France,FRA,2000,1549.964996
France,FRA,2001,1530.461716
France,FRA,2002,1497.338545
France,FRA,2003,1502.09755
France,FRA,2004,1525.996679
France,FRA,2005,1527.371654
France,FRA,2006,1510.607411
France,FRA,2007,1530.004771
France,FRA,2008,1537.762092
France,FRA,2009,1521.275885
France,FRA,2010,1527.950982
France,FRA,2011,1534.606591
France,FRA,2012,1528.892551
France,FRA,2013,1513.874285
France,FRA,2014,1508.988565
France,FRA,2015,1509.412663
France,FRA,2016,1502.728524
Germany,DEU,1970,1959.752667
Germany,DEU,1971,1927.853014
Germany,DEU,1972,1904.832719
Germany,DEU,1973,1876.333748
Germany,DEU,1974,1836.943697
Germany,DEU,1975,1800.189458
Germany,DEU,1976,1812.652836
Germany,DEU,1977,1795.179976
Germany,DEU,1978,1776.250027
Germany,DEU,1979,1764.396622
Germany,DEU,1980,1745.067788
Germany,DEU,1981,1723.540959
Germany,DEU,1982,1712.378903
Germany,DEU,1983,1699.522618
Germany,DEU,1984,1687.961907
Germany,DEU,1985,1664.940182
Germany,DEU,1986,1646.004552
Germany,DEU,1987,1623.879742
Germany,DEU,1988,1618.697359
Germany,DEU,1989,1595.276989
Germany,DEU,1990,1572.255236
Germany,DEU,1991,1553.518948
Germany,DEU,1992,1564.715409
Germany,DEU,1993,1541.576245
Germany,DEU,1994,1537.250648
Germany,DEU,1995,1527.978292
Germany,DEU,1996,1510.495404
Germany,DEU,1997,1499.644241
Germany,DEU,1998,1493.581899
Germany,DEU,1999,1478.722042
Germany,DEU,2000,1452.012927
Germany,DEU,2001,1441.910121
Germany,DEU,2002,1430.860459
Germany,DEU,2003,1424.744898
Germany,DEU,2004,1422.223352
Germany,DEU,2005,1411.280069
Germany,DEU,2006,1424.675161
Germany,DEU,2007,1424.352139
Germany,DEU,2008,1418.396319
Germany,DEU,2009,1372.713489
Germany,DEU,2010,1389.882984
Germany,DEU,2011,1392.813334
Germany,DEU,2012,1375.026747
Germany,DEU,2013,1362.697606
Germany,DEU,2014,1367.079115
Germany,DEU,2015,1368.106991
Germany,DEU,2016,1358.586553
Germany,DEU,2017,1355.474749
Italy,ITA,1970,2042.067863
Italy,ITA,1971,1989.591329
Italy,ITA,1972,1970.824496
Italy,ITA,1973,1954.530641
Italy,ITA,1974,1923.945912
Italy,ITA,1975,1908.495049
Italy,ITA,1976,1906.372068
